Title,Company,Location,SalaryFit Score,Response Probability,Missing Skills,Verdict,URL
Visual Artist – AI Training | $98/hr - Remote,Crossing Hurdles,EMEA (Remote),Visual Artist – AI Training | $98/hr - Remote,15,5,"Fine arts education/background | Traditional art techniques (painting, sculpture, illustration) | Adobe Creative Cloud proficiency | Professional art portfolio | Visual storytelling experience | Digital art creation tools","Do not apply - this role requires a professional artist with fine arts background, not an ML engineer, making this a complete skills mismatch.",https://www.linkedin.com/jobs/view/4369893925/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=Gwwg2si75A%2FL08r20YGuRA%3D%3D&trackingId=Bu904TbKynRZKK59knE9WQ%3D%3D&trk=flagship3_search_srp_jobs
DevRel / Growth,Hyphen Connect,EMEA (Remote),,15,5,3+ years DevRel/Technical Marketing experience | JavaScript/TypeScript proficiency | Web3/blockchain ecosystem knowledge | Public speaking and conference representation | Community management experience | Developer onboarding and growth focus,Do not apply - this is a complete career pivot requiring 3+ years of DevRel experience and Web3 knowledge that the candidate entirely lacks.,https://www.linkedin.com/jobs/view/4389537922/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=Gwwg2si75A%2FL08r20YGuRA%3D%3D&trackingId=dw4kWXuUjjAJ4SNY4kyMFw%3D%3D&trk=flagship3_search_srp_jobs
Solution Architect (f/m/d) – B2C Omnichannel,Magenta Telekom,"Vienna, Vienna, Austria (On-site)","According to the collective agreement for the telecommunications industry, this position carries a minimum gross monthly salary of € 4.046,28 based on full-time employment (38.5 hours per week). We will discuss your actual salary with you in person, taking into account your individual qualifications and professional experience. You can expect an attractive offer that exceeds the minimum stipulated by the agreement.",15,5,Java programming | AWS cloud architecture | Microservices architecture | Event-driven systems | CI/CD pipelines | E-commerce platform experience | 5-10 years IT experience | Solutions architecture experience | Agile delivery experience | Stakeholder management,Do not apply - this is a senior enterprise architecture role requiring completely different skills and 2x more experience than the candidate has.,https://www.linkedin.com/jobs/view/4389497812/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=Gwwg2si75A%2FL08r20YGuRA%3D%3D&trackingId=jQYc9nEQWphIJBkGg2svlA%3D%3D&trk=flagship3_search_srp_jobs
Growth Operator,Navero,EMEA (Remote),,15,5,"Growth/marketing experience | CRM systems (Lemlist, Clay, Apollo) | Content creation and social media management | Event planning and logistics | Referral system design | Outbound sales sequences | LinkedIn Sales Navigator | Business development","Do not apply - this is a growth marketing role requiring business development skills, not a technical ML position, and would likely require visa sponsorship for a role that needs immediate execution.",https://www.linkedin.com/jobs/view/4389490235/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=Gwwg2si75A%2FL08r20YGuRA%3D%3D&trackingId=EefyDbw4kUFFSOoekyMFvw%3D%3D&trk=flagship3_search_srp_jobs
Research Physicist | Upto $90/hr Hourly,Mercor,Austria (Remote),Research Physicist | Upto $90/hr Hourly,15,5,PhD in Physics | Undergraduate degree from US/UK/Canada/Western Europe | Physics domain expertise | Experience developing physics problems | Experience evaluating physics content quality,"Do not apply - this role requires a Physics PhD as a hard requirement, which the candidate lacks entirely.",https://www.linkedin.com/jobs/view/4389270309/?eBP=CwEAAAGdIi4rArCLHtRkoLTuNynVd5L5boycLBtHlWoeKOYtGgrMIXy1PDkI4duuKDonPQxIJyxkp3Ax1uXyeL01OxvmUUPwMsu2XcMcC_GMbtWHocR5aSgJgMNceu3CrG5lmUcqCkg46NEXPj21J4J9GBEb7gSieS1aDFhDFqA1LUe2LR4p73yd-dmzB1mIqVS_KrxLsbUnPj8RKLAtQbnrzSuPrFYXjyb4-WkT5gw8AgkVefH-fr6SZnngXw9tSX8hIgdZCTSTCw21QMZP7vopPCCXoEfjpWFOBq2fLgp6pBz8ezJj1OR-IVeocyOuFRiOSHKHGnhwe1Ohj3AEDo2zNrcY8SIk9F75OaVmmI0xl7OcC5EzxBPRUM7TAlaszhuBZRKKDOjuA_DdK84i0b31lzs0HvGTcPWWjJvO_p8MxAT7mxKsNzK5vZhHV2oxuF4I26BQ1BZYmUFQ6GBBaoyM5G6CcbBdpv3jTwjpq2CNo_jjAAtPoWmbmV3mpw&refId=Gwwg2si75A%2FL08r20YGuRA%3D%3D&trackingId=oWWgCspxETtruNFuYvyHog%3D%3D&trk=flagship3_search_srp_jobs
Full Stack Engineer - Angular / .Net / Azure DevOps - Vienna,W Talent,"Vienna, Austria (On-site)","Salary: 80,000 Euros",15,5,Angular | TypeScript | HTML/CSS3 | .NET/.NET Core | Web development | Azure DevOps | SQL Server | ORM frameworks | Full-stack development experience | Agile development teams,Do not apply - this is a complete career pivot requiring 5+ years of web development experience that the candidate lacks entirely.,https://www.linkedin.com/jobs/view/4389481311/?eBP=CwEAAAGdIi6JXH07YezZGALgk8i0_4MKz9H3K27GioRdY6KIyG0EktuoMdMdFedpJU5YLfUcYg4sxpBtIOSyzTDs_yTjkAU0KFhFRSZren8sZE_YAsAVFRjCON0OLgzxdxGeAssaWty4ThNrXvOnos9kWPvwupSP9hLkSAXMFJoObpLjBw7SnQ31lKLCCT2Kz5aQcdfT9kiY53Z7RPCRcGwdi83OoUlSndDUQuX5t1DuGXclfPqqK55wLQF8XShHX8FrQOxpqW07QQI3QoGr0BMYLg_Ic-GDd9HEpcD-8_yQLFMsklFI8S6Qp9XbxVXb3jHQ6Bfs96lFZ5IPf1W3wDTmvRJG-QUg30BeGHzXC_wRK1wA_BuYdrZeOwUPuqfRlhR9iLwfaXTu5wwWiXjRIPEUl6ztkQ27JsIJfsPiMeV4LiZYCs6oZRjIbNwKpgyGYuq-EufwjBBB4i7lj_4HkfBch_53qWFG1-Ulc2k69JZQsVOfSFPajxqG14MV4A&refId=NzkzHcqT7Otf%2B0jN%2Bz7VZQ%3D%3D&trackingId=zsLPkP30OprO5QurbZgG%2BQ%3D%3D&trk=flagship3_search_srp_jobs
Principal Data Engineer (platform-focused) - Remote Work,BairesDev,European Union (Remote),,15,5,Scala (5+ years primary language) | Apache ecosystem technologies | JVM performance optimization | Distributed systems architecture | Stream and batch processing frameworks | 10+ years IT experience | Principal-level technical leadership,Do not apply - this is a senior Principal role requiring 10+ years enterprise experience and deep Scala/Apache ecosystem expertise that this research-focused ML candidate cannot demonstrate.,https://www.linkedin.com/jobs/view/4389819752/?eBP=CwEAAAGdIi7Nr38X4qGBM89ahrVcDhikXsTaUHKlimc8HCc5JMF9LUjJaZu89Ei9GuHH6K7Rs6iVqWKjG3Bn802uo1aqKwidoss-R2r0BxYm1JHRhu7hgVLPI9Y814apIw7LvmuLS0BmM5m1tEf67ExFOV2mE4cx4d__kAMlTigDeyWH_PO4F6Sl-tzURxsC9Y3McO5C5TkPzLXkPe_ZsPJHOe-X9R2SQ9Ngzp_-TLY1HpWmnh3ixoqDqqX4CGSUHtOxZTtVH3lNjO98qwP533kKzt448rZhjMW59wjczEf5-2QuQdj92I0WZEDWauGOjPDqWS2T9w9cXF_HbO0GnGWkVhZFglvU3AgNUUupcV5HllkUDjHKp3iHProAEUWZwJUiJquKXOFicRV-nZIAsjX-NotasIUlbiTZakrS5yjnk4NZ6C3VtlYsDFGcYrbbvKtxMdYkCxoM4anD3wug0WGi2cUBgKqJqf1C_wpTzfcAiM9bwwsHNFAEW5AFrg&refId=3DbcSKCd3KZ3TwNCJzR%2Fsg%3D%3D&trackingId=yiU2N4sIFO6E1%2BGrspARjQ%3D%3D&trk=flagship3_search_srp_jobs
Angular-Java Fullstack Developer - Healthcare (m/w/d),softwareXperts GmbH,"Vienna, Austria (On-site)",,15,5,"JavaEE/Java backend development | Angular framework | Frontend development (HTML, CSS, TypeScript) | Database systems design | Web application architecture | Healthcare domain experience | Kubernetes | Kafka | Code reviews and testing practices",Do not apply - this is a complete skill mismatch that will waste everyone's time and potentially damage your reputation with Austrian recruiters.,https://www.linkedin.com/jobs/view/4389490876/?eBP=CwEAAAGdIi7Nr0B4RBJM_jO0o2PA6gBMXJNFC-3J9PiIsSzIN-z1aBq-r-dRQY-aOuNrv89zUEBBaMZq7-bnN_3uRqqyxJTD2B8zdAQH-iYvQSWbJS1z8YJBIGBBLFMIjidUvRRW9l9uj4OBunRzVjzbc9lhOXHtEpIlix-_glNScl7cD_kzenW_9NKtwDHZ9i1Gfusy1jVbZsfXzHU-MbTZOOjbaQSxtYD3AY03UgZaCLfe0hhLETM5RNE0KKPjqhOi_Kx4HQtklyOEJuFZIuRKjZG8Bm9SEap2aD0oa-MLVMyCZADW3OwO7ClnI_wFFo-N_OdABdGWLD100tyXsdcnvZq2CwYMHMuMzqyoaLkIKGQ-cBtvhbMdzCQrcXUH89N3_MRmZ9vyUti6iSI9HNtUP8nmaN_Zqt90i8N01e7T5yRaZZbBDoZ29WHPB1nGiiozqFZ2hYI1uj1V3R9nBmU0kAhVz1Gz4lhQLdjdkSX7zBCpmfhYDBcyiNPXnA&refId=3DbcSKCd3KZ3TwNCJzR%2Fsg%3D%3D&trackingId=o0pEeNB7Ynu2C1cLNktXmQ%3D%3D&trk=flagship3_search_srp_jobs
Cloud Solution Architect,Penta Consulting,European Union (Remote),,15,5,Microsoft Entra ID/Azure AD | Conditional Access | Identity Protection | SAML/OAuth/OIDC | Enterprise Applications | Hybrid Identity | Microsoft Azure platform | Digital Authentication systems | Russian language requirement,This candidate should absolutely not apply - they lack every core technical requirement and this represents a complete career pivot from ML research to Microsoft enterprise security architecture.,https://www.linkedin.com/jobs/view/4387813738/?eBP=CwEAAAGdIi80kRoi9zXm_YV8ytlY9Fc9t0FjJLL29n7PuXIPvPtWoavJ0i143cWvyxdAkTx0sNZxijuzhSxvikXoLyBHzYt1pURFtxF1KN8Slmwp5tDfq_NbqrucfvPgihhcW7tdiW5bfw8Gamd7u4LlxqN8JerccYh4eo-n25OaODNKHOn7gegTT7XgE1HYyv9YFEiF3Zj7ktJDWbgDK4q1sWfyTvUcEXYntG7zDmLnq0Br-fbIT5fjbTqxVEJReyNS2blHzMxplTWDZkxdlzOwDi9WOgkDLubzdztxkWYcJN226x4JC5EFUM14YRVkZXSTWs-QlFNqIJ9cj86SjVy9YYWRMEpDfY9XtcI_CyYO3ey3ccNrnFmTD1CWXKT32dPBXv_Rq8ts2NcNT15vzMPYjy7SGA61ce44ucbuJx75VVYTka8booDpQmUJ3jLV1XAjvbERYrUbVfvsO0GkjN55kNtKrZISZhPlWqA2di6uS1ny4GCo6YVhfrM3nbwkeegvbO_2JVFU3bM01V7fboW7frpjGmaqh4Q&refId=EwA2X86Iw6xw6RDZUBUYzA%3D%3D&trackingId=E2cSSpEVzseqAjyHduff7Q%3D%3D&trk=flagship3_search_srp_jobs
Senior Information Security Specialist,Bitpanda,"Vienna, Vienna, Austria (Hybrid)",,15,5,Information Security GRC experience | ISO 27001/DORA knowledge | Audit leadership experience | Third-party risk management | Regulatory compliance in fintech | Control testing and remediation | ISMS operations | Business continuity management,Do not apply - this is a senior security governance role requiring extensive InfoSec experience that you completely lack.,https://www.linkedin.com/jobs/view/4380369828/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=EwA2X86Iw6xw6RDZUBUYzA%3D%3D&trackingId=gpQ3bXpRc5FMqlrI13eOYg%3D%3D&trk=flagship3_search_srp_jobs
Market Integrity Analyst,Hyphen Connect,EMEA (Remote),$80/hr - $90/hr,15,5,Financial surveillance experience | Market manipulation detection | Blockchain/DeFi knowledge | SQL proficiency | Data visualization tools | Financial regulatory understanding | Trading systems experience,Do not apply - this is a complete domain mismatch requiring financial surveillance expertise the candidate entirely lacks.,https://www.linkedin.com/jobs/view/4389538886/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=EwA2X86Iw6xw6RDZUBUYzA%3D%3D&trackingId=ywLN2X0eAgH%2BV5WFR9yD6A%3D%3D&trk=flagship3_search_srp_jobs
Freelance VFX Artist – Research Portfolio Submission,Twine,European Economic Area (Remote),,15,5,"VFX portfolio | Houdini | Nuke | Maya | After Effects | Character/superhero VFX | FX shots (smoke, fire, particles) | Compositing | CG/live-action integration | VFX industry experience",Do not apply - this is a complete skills mismatch requiring years of VFX training and portfolio development.,https://www.linkedin.com/jobs/view/4387934377/?eBP=CwEAAAGdIi-BZZ-WtvlH_HQUo37HNiemG8uf2QO1GbVQQ8jNNOVT_tsNbUdbzu38uV8nOWMHaKPPhaW_VgqIrpHuINtVz6bGeAKcECgqkkLtAbi5BkU62rxsYMF9U_56A4PwHoY-jFTLoBU4WJmoGnIVKpchHWXuK71FMz04okDKEzrTfALsYYYDUNwWuDAbqMRGueF2pxQc81PB83F2lYVpI3LxqJZNYZUr7KKyyIoJvItW_AFEZ-Yi2Ieum9QMxSvCE1dJO941ZK1w61D9MIAjEe74LTv_NasjGnXUchgVBJxDZLwvs-QwqBPa1PEbzkaVYiiOXEO_BUK-_ZlpjVuhubbE6R8IBnzD2KemDcLyXiZ9FP5_4eJl3pcfE8e5aVrgue3KK8B79KCWAJtmRKYgUe4sme7nJit_k3bEpsK7UD4dxGpJMD38xqH4nUXmHye1c0nAWZzEIxNKmMO95KZjp0HkUlkEA6W5kfYExoiWrAuayn4VasqKimLe2Y0-pBlk0h3nJe577kNtA0YQlO-VIQ8T-SAubevGgqCH&refId=ZbeWQsT78RtU6xdQyxmmYg%3D%3D&trackingId=sFxzaWboAnZZNBEc18AJ0w%3D%3D&trk=flagship3_search_srp_jobs
Project Manager – Program Management Group (m/w/d),Dedalus,"Vienna, Vienna, Austria (Remote)",,15,5,Project management certification | German fluency | Healthcare IT experience | Budget management | Contract law knowledge | Team leadership | MS Office proficiency | Customer-facing experience,"Do not apply - this is a complete career pivot requiring German fluency, PM certification, and healthcare business experience that you lack entirely.",https://www.linkedin.com/jobs/view/4386822149/?eBP=CwEAAAGdIi-BZdJG7oYBUbu7fUr7aUHaCrdChxuH_jaPBEL-SFeFIyQxymBdhcU_caqvqsmN_MDi5F0ni-9j-OrqtDZm6C-mprWPJVXpdEmOikyD7YmcVhNpm-nZ6G2uXm9EOpdEkTt_unYbcWRqPvru0iW4ZeNniP8IWIu3dAzcEGnwy6xmX65E02WDw--Jl6OPThcBt3UHDCRvRtm_FZmZ_3H0dQt4U3vsWLGCGFpUmHFFvf2qqDIU4v10G0ccb8QwNoDicYXv-WyvvjjXgJ8hhX7mhKqdIPuyAOsuXCj-e4EFkNNYGKn6pedbFw8GeUuonDVUbDOZFctorZEaqCnLqB5nRCXpZX6mnWksPu2nSf_z4UQn9HG_gvYUjJzL5wMd8nml2ahfSexQjpuXqOXdtTXvdM8ny6m5cbWpgesS5cNRNAf_d8D743UKxDbn9UW87woHFh930s59og7udN6NkUwOBGyU1nBFUbw3svBzZEUt7zXsTk2kN1BzjbG58DsjfUbu6iBzX8uW9R3ODfmr-U_9ssfi7U01Equ9iQc&refId=ZbeWQsT78RtU6xdQyxmmYg%3D%3D&trackingId=IYWm49D9B%2BfxjzqCNJSxhQ%3D%3D&trk=flagship3_search_srp_jobs
Quantitative Trader,Venture Search,European Union (Remote),,15,5,Proven systematic HFT/intraday trading track record | 3+ Sharpe ratio on live strategies | FX/Futures market experience | Market microstructure knowledge | Trading system development | PnL generation experience,Do not apply - this role requires proven trading performance and financial markets expertise that the candidate completely lacks.,https://www.linkedin.com/jobs/view/4383093328/?eBP=CwEAAAGdIi_VOJBMqsw2sdvLgftewYsqmZ_gvnRThQZMMOrlCouIDjUklrCt2rCyK2JxIGmP0n0mepHG-Jfl69UmpIc833M7CpEx2t5ocXZS96_LXqUAKV1CXiVS9C-EViZl1PDlkEwiFJldhD4T4dZgmG9FSy2T6n_P4gQu9UccEsAXy_pKZJSdaYA1BrET4yM5Ne3yFtxSEmE72msUIuKilZAjsL7c3LTBYwqxvegyWfyMvg9tutnDzh9z0FZN88NAaOfopJ7WnWs7_FPjtVLBne6JO1pzgJCVMPic8p52mIi2Ez5D8IGlF59N9uwUFezK6eC_99aB_JVoUEYMGVYQVoeESXpVUxJvltmbHs25kSfwM9MDFvXDVYWRqsPZqgYh9mGotgl-o_YfEAhy8aKytuvOvAg51KJpQnXiY-UdcPnGYkptlF7AFz6SEO2LI-TzQojz7g24vsiT431Wvq2npkP0qI6DLrFNrgO7q5tuyxdXxfdxFyQ9jfUqlA&refId=fpb3gVxDnfSwNCDzCdyIzA%3D%3D&trackingId=jlUmnVJ7yNnStBnsbjHQGw%3D%3D&trk=flagship3_search_srp_jobs
Private Equity Analyst - Fully Remote,Mercor,Austria (Remote),$150/hr - $150/hr,5,2,investment banking experience | private equity experience | $1B+ deal experience | financial modeling | valuation methods | DCF analysis | LBO modeling,Do not apply - this is a complete skill and experience mismatch for a role requiring senior finance industry background.,https://www.linkedin.com/jobs/view/4389742037/?eBP=CwEAAAGdIPNXhlBfndsUZmUCxbP_ThmDjAzC1H9RWvzGKDfpJDlbhQsewIkTaoPV9q-GVxeNmiC-tcPf2f80Gy12H5mNPmdr7xCc0CN5FkkBXrIjF4M7qtwVHXUzBHxe0Ay1FjGGWoiEw6UaPyamUh4PeJkvXnAuOHIIjofJjQhF65FavV4Rt34IgxaZq8KASwzg7tarz1uimX_02NB1952nwiW7TZB7pJRsaqE45SZfGz0aJ_yPENLqkmgngE3lISB0WJ4mqcKe5rva7dV3gaZQ_AzecW4NhBrc4TNrGmnzAsetKnPiD2_YHUnyx6Y-4uEqL8ULnMOoz8wTBeZW8dJtm7YuK3tmWfupZTcayHWhJiA6JdyIeI4ln9wac5GcxbcuiArPnS_lq4aEnqhWb8a5aK0-_sbEKncvSf8qONXuevu0r2MM2eWsDve03aKfrZFKposzQaT6JlyPiw_e0bXw6h3KNFk8sYECyM9IrqzXIo1nvRz_zlnttLOKLZbTUPs4WPZAoRjALSEcXLeLde7PdP4-4hlMruajnkIBC7U&refId=WmGXFfng1onl9Hiup%2ByEJA%3D%3D&trackingId=uxM7Uu2mtbn4iPTPASAseg%3D%3D&trk=flagship3_search_srp_jobs
"Synthetic Flight and Ground School Instructor Vienna Training Centre - Full time, Permanent position-EN",CAE,"Innere Stadt, Vienna, Austria",,5,0,EASA pilot license | 1500+ multi-pilot flight hours | Aviation experience | Flight instruction experience | Aircraft systems knowledge | Aviation regulations knowledge,"Do not apply - this role requires specific aviation licenses and flight hours that the candidate completely lacks, making this application futile.",https://www.linkedin.com/jobs/view/4361834186/?eBP=CwEAAAGdIPOqcTbHNSv46fvfcKH6tmR5ZqeC8lzrRQrOr_et4GYn8r-bdVbZjE0zIL9CT_5KBSwjUD1ubevafHVfL5WGezogaReKYl36NO_J2Ys914F7ZidMW-Pd4YxU5exzMf6FweXmG8aRAcz91_4nyguxtaTPGT2XOtKE-nxV8M6zouh7kQt0m-hdWvL4U_wgtEFStQ6lcGlIF3x7eifdC3KQH2rCZScYHlV3BUD4q2FtFtR9BmLG8-o1CJ9a7d87Rx3OnPrA3-wiZtohQICcGLr-J_RT8irLEN_GUzH_k0DLq2AAe92DKVHahtyNbWoibcuCSJw3jSqASBTXnjmxPWjwS0D0bkaFHihi8yDQTb0-kaI4erPuhiVvqaNp_2AegWfVU596IErAslk7j0K0a7LnJA2SKfdUG-CU6_4ohTAuRrJsiqnE-ZMBKVdC2D0gtOO6tPnchROZua-TvybEZt8qrQkqXKXrjvC-_geHx_vsxqSv19dZJagqor-gqQut01JIGSLOiGW183xNR4HcL2ReU8I6zZlOrtUH&refId=zPTSCScEGOwHD1tJg5ymsA%3D%3D&trackingId=7YV4PemJr7lnLAWNCvKWxQ%3D%3D&trk=flagship3_search_srp_jobs
Investment Banking Analyst,Mercor,Austria (Remote),$150/hr - $150/hr,5,2,2+ years investment banking experience | Private equity experience | Experience with $1B+ deals | Financial modeling expertise | Investment banking technical skills,Do not apply - this is a complete field mismatch requiring years of finance experience the candidate lacks entirely.,https://www.linkedin.com/jobs/view/4389741080/?eBP=CwEAAAGdIPRIT2X1Y8FFWjed9nsGgQCvMKQLTjE9NQHYau_l0AGG9x5w-v0iXqPaLhE8RRHnKnqaZzjvQGfSjWeLNa1tvg11iXh6HVhajE6rOl4Xu6eETTJX9WFmUKq6WutUfZv842P-MjUChv-CDR0nbcJCCU6NP_-zr2rgF3vL_EW9sTNfUuWgHo5QTyDBI2ym6ZiI5HUsqZT6TKtbvtzqEhcyJLyxhDohOstBSIEC_H8FFodEClEDgh8xMK3RB8-yn2yHcjnIpOMLIemxEDrKdv2LO_5d5erU8MM7pVNvda3FwfhFgS8fPhwogxAXlnwHvpOWm13IoejBre7GUFM0mig66JJOiv-ZkLTu5YSqbW9jGrCVgXUw1UBzvhu_eaEwTaTJsCQq7uelJRKjfB0zgDj_zAvJAyqNrQkiiRX7IrMtWlO3Tmz6xe-C6zzqVo1hGDqiswDtyplRePH3uXzgi7g685STc6jVAgKGACwfmEMl5HS9Ae5rcHvy8424VGpwqVddte_OZfOa15JqSNPQfIvMctALe4uyyjqnXkY&refId=16THS%2FcDI9rpk8Rk%2FQ7Pcg%3D%3D&trackingId=h8Ia5bdFikjEV8dFmNPdyQ%3D%3D&trk=flagship3_search_srp_jobs
Product Sales Manager (m/f/d),Valmet,"Vienna, Vienna, Austria (Hybrid)","Performance-based annual gross salary starting at €70.000,-- with a willingness to pay more depending on prior experience, education & additional qualifications",5,2,Stock preparation and recycled fiber processes knowledge | 5+ years pulp/paper mill experience | Process engineer/production manager experience | Commercial negotiation capabilities | Sales experience | Contract reading/understanding | Willingness to travel extensively,Do not apply - this is a complete career pivot from ML research to industrial sales requiring specific pulp/paper industry experience the candidate entirely lacks.,https://www.linkedin.com/jobs/view/4380357750/?eBP=CwEAAAGdIPRIT7dvZ5ygkGD5rpd73oAHJuhwr4L2wNNbrEXDYZZmtaAQjg2bmP2I5z6IcyeA6RPA3ciWi9g1H7Rik2cPdYVZecFGFvTKdoU9tYshsIdPD9ZBMbydyrZBZ1J_NHTSRzdiQrI_yyheIumlA5TIIXs8jznJ4XQv0m1Ger-HXB_kvYjdCPRgROMDhfFmq3XxZgwQBMJhFsJGr_t9wPbgO-2efElsZ4REvkhYa7zkkqYgr5Y7zJXubxOCDRtVtFYVp8CMXAAFHtkiLJLc1eFVsNvg4jOIUGzaIWgZXQNp-WNKrsxsOEgF1Wd0Xj03qBkMwpA3UGXeat68Sm3e4t-6xGcDjnkXUCsRbZYrSqr4v_hob9at3mntuxDnyWh0nAGGUpd36vT4FWwj4Qs13kLEuNvD9noY5-ZHvH44GBkWji5lIdm936UIvl34UNUEQ0RLPAFqoPkIP4xDAxFjgEwsLYAkko8ZVu9DFcGwgGNoRUBsxXfNM1U9CNvWc76yreyV4r1uS0vfnsF90mAW40-oScXo&refId=16THS%2FcDI9rpk8Rk%2FQ7Pcg%3D%3D&trackingId=taK1SULtVO7N1B5aT6HLLQ%3D%3D&trk=flagship3_search_srp_jobs
SAP Solution Architect (w/m/d),WienIT GmbH,"Vienna, Vienna, Austria",,5,2,SAP development | ABAP OO | CDS Views | SAPUI5/Fiori | S/4HANA | SAP BTP | RAP | Modern ABAP | Plant Maintenance module | technical team leadership | German language proficiency | formal computer science education,Do not apply - this is a complete domain mismatch requiring years of SAP-specific experience you lack entirely.,https://www.linkedin.com/jobs/view/4377760820/?eBP=CwEAAAGdIPTXz_1UcjgDGJhC-f2ZbMQ5KjC-pWXYS23f6wQMWcFlv5UKoPHMZUWpupKnWAhxpai9rwchXNHn1fnZO1IUgvTFiiMHawe6OU-j82ED14IdAgrQcqtfk4tqxUpJRVgY3OS74jqj1EyFuJ9AsE-ADWKUXhHKyPtti_p7YlJmGe7vGLfuCIWEzULwRLtryfZ5zA7W_F4V4bd2bzQlCNOHxuAyBMEXrfC_-WaJ4tRSBqT2IMc8L5vFQi3-SPPcgKZ5nOmmWtbzdYtdEpigeEJi2AKZtPQYz1l8igLhWB60LvKBC-hq6RTWXFN8t3on6oRHx2dAS1JKP7wx8x-ArMhLjPoG238fPjuGeecnOUDkX3th4YCLCfAfSEok-wkIE8qEHXYeozPpLtyW-Vih9a9MduheuqFugGUJ6QQjPqoIZ9huvvQU8o7rjC94kRZ7Px9Hm51pDK2DMnM9xaJDlvWosfx8ScajXSTizVKLyOZVh-BIcAqspvWmnugMJmup_Zg_fKGAo5oBr2Zr-jybr9mKAkJmCmN6Za-i&refId=JKDwaVP4wgfr%2BPqmeoLe5w%3D%3D&trackingId=X0PHIeC48weZhFcYZtWIzw%3D%3D&trk=flagship3_search_srp_jobs
Business Analyst (m/w/d) Value Train - Krankenversicherung,UNIQA Insurance Group,"Vienna, Vienna, Austria (On-site)",,5,2,Health insurance domain expertise | UNIQA system knowledge | Business analysis methodology | Agile/Product Owner collaboration | German proficiency (C1+ required) | Insurance regulations knowledge | Stakeholder management in insurance | Epic/User Story creation | Insurance contract logic,"Do not apply - this role requires deep insurance domain expertise and native German that would take years to develop, making this a complete career pivot rather than a natural transition.",https://www.linkedin.com/jobs/view/4389736302/?eBP=CwEAAAGdIPVXmcnp5GKZSbxXDbU5FUCU51z3nBWegwfhw7xx28307u8r5wKSOmH_-jvY1khrBfGCjROg_KnY4Lb3To1bDV0DCRTYDoMG1zoplpbt4cfARx4uR6Bfjtpo8W_NlFPiow-6GcI0Tq5ePogQasZr_-NR2mveSkzPzWAzuw5MtsE_sUsCWwgGFiWKZwiuz9bwU2u2S4epIjK1csolIzpT7zB750ZNp71Ci8mknOSfuW0ae_7uST2BBwSZFki3gMSAloCljkk2AWEO4dUdfUzw0WrANJhgjsIjzphbiTkmaJRx780C1tw3w2GcMSITkAu22IO0HN54K6ByxU8uh0lwnEEZpw5py_rzauizyIP8e29j8qxmWH_H_Bt6q_5dR5_oyqRCcsvspc9wrOW6jh3ejmejdg_-QiXkohIEXm3T3Da_AS1eegt3D85Zx3tHFLCYeZFh0hlHnuehXz_sHOPmxiPqSawQqwT8lyDRmeVH1UVyU0gO93-Ak6uM9ESc0tTWGe8kVyB6C8m44SU_XJhLc_R8FQ_6DJj61zM6KA&refId=z%2Fm9iUTYsLw1VTWC29MaYw%3D%3D&trackingId=P1ur40Q1ANpibZNF15nLcg%3D%3D&trk=flagship3_search_srp_jobs
Customer Service Agent - Carsharing (m/w/d),Porsche Holding,"Vienna, Vienna, Austria (Hybrid)",,5,2,Customer service experience | Commercial/business background | CRM systems | Complaint management | Phone-based customer support | German fluency | Carsharing/mobility industry knowledge | Back-office operations,"Do not apply - this is a complete career pivot to an entry-level customer service role requiring German fluency, with no transferable experience and massive overqualification that will raise red flags.",https://www.linkedin.com/jobs/view/4380312571/?eBP=CwEAAAGdIPWSJXqzN3T-OOahr4eexbPJvjhxJCUunJRJif_xGZt6AQqkXKl0nE0IoA47ULuSdN6e7XIPH2J6YPIPqDou-AG7yc0BDRC6CpIzLatVXRnr_mF2QCVu5JXxAaYq5TmXJW4TP0UddrsxOZCy5YBSqvBhQGl0WdcPkV5g8GKwMt-dMweWgY9WwO_tF2hUdrw4T5dyzIglihqL-4bjUc3GpEXFZah-TdPJldYJcQYnyrcK4NaptdggYRN-MWqn0ETMzjQFIWC9herh_qbmeLwO6LemZ1OfgMI622D22WeZUBNjlGGKUzgSbSByK5d4taV_o_Cja-aT1tEZF7U2bQWl7RQolk2C8SwvaNwTTfUNIk1HoF2rXOZK7Bq3P6O9gWht_lBKo-SS9EOJGjCbi7M2roITDwCaIX_waTYaDoHpTm7BPi5KYRS8RrowGKzXDo__UKNlNzhOFwrIVgWCjQQn2jIrSyTb4FHd-ZtSLZtl703f9i9W5_q9sNiYhAz5BeSasBP46H7q37a4GOeBRls_CMDJOagvFy_n&refId=oNUnhzNOeI1VZlA2BXmS9w%3D%3D&trackingId=ODUkMHSsLoqH5pGZSC5aqQ%3D%3D&trk=flagship3_search_srp_jobs
